Dataset,Dimension,Annotator Pair,Spearman Correlation,Spearman P-value,Fisher CI Lower,Fisher CI Upper,Weighted Cohen's Kappa
Perceived Empathy,m_accepted,"('gemini', 'crowd')",0.45,0.001,0.20,0.65,0.53
Perceived Empathy,m_affirmed,"('gemini', 'crowd')",0.34,0.015,0.07,0.57,0.39
Perceived Empathy,m_caredfor,"('gemini', 'crowd')",0.34,0.017,0.06,0.56,0.37
Perceived Empathy,m_emotional,"('gemini', 'crowd')",0.52,0.000,0.28,0.70,0.57
Perceived Empathy,m_motivation,"('gemini', 'crowd')",0.46,0.001,0.21,0.65,0.42
Perceived Empathy,m_practical,"('gemini', 'crowd')",0.53,0.000,0.30,0.71,0.42
Perceived Empathy,m_seen,"('gemini', 'crowd')",0.35,0.013,0.08,0.57,0.46
Perceived Empathy,m_understood,"('gemini', 'crowd')",0.31,0.028,0.04,0.54,0.40
Perceived Empathy,m_validated,"('gemini', 'crowd')",0.37,0.008,0.10,0.59,0.42
Empathetic Dialogues,relevance,"('gemini', 'crowd')",0.26,0.068,-0.02,0.50,0.10
RPG,self_oriented,"('gemini', 'crowd')",0.49,0.000,0.24,0.67,0.50
RPG,validating_emotions,"('gemini', 'crowd')",0.59,0.000,0.38,0.75,0.52
RPG,advice_giving,"('llm', 'crowd')",0.48,0.000,0.23,0.67,0.45
RPG,demonstrating_understanding,"('llm', 'crowd')",0.42,0.003,0.15,0.62,0.17
RPG,dismissing_emotions,"('llm', 'crowd')",0.26,0.070,-0.02,0.50,0.20
Empathetic Dialogues,empathy,"('llm', 'crowd')",0.03,0.844,-0.25,0.30,0.00
RPG,encouraging_elaboration,"('llm', 'crowd')",0.69,0.000,0.50,0.81,0.54
Empathetic Dialogues,fluency,"('llm', 'crowd')",0.27,0.057,-0.01,0.51,0.06
EPITOME,level_emotional_reactions,"('llm', 'crowd')",0.66,0.000,0.47,0.79,0.59
EPITOME,level_explorations,"('llm', 'crowd')",0.38,0.007,0.11,0.59,0.29
EPITOME,level_interpretations,"('llm', 'crowd')",0.25,0.075,-0.03,0.50,0.19
Perceived Empathy,m_accepted,"('llm', 'crowd')",0.40,0.004,0.14,0.61,0.20
Perceived Empathy,m_affirmed,"('llm', 'crowd')",0.43,0.002,0.18,0.64,0.19
Perceived Empathy,m_caredfor,"('llm', 'crowd')",0.35,0.013,0.08,0.57,0.23
Perceived Empathy,m_emotional,"('llm', 'crowd')",0.55,0.000,0.32,0.72,0.37
Perceived Empathy,m_motivation,"('llm', 'crowd')",0.52,0.000,0.28,0.70,0.45
Perceived Empathy,m_practical,"('llm', 'crowd')",0.59,0.000,0.38,0.75,0.55
Perceived Empathy,m_seen,"('llm', 'crowd')",0.43,0.002,0.17,0.63,0.19
Perceived Empathy,m_understood,"('llm', 'crowd')",0.43,0.002,0.17,0.63,0.16
Perceived Empathy,m_validated,"('llm', 'crowd')",0.49,0.000,0.24,0.67,0.19
Empathetic Dialogues,relevance,"('llm', 'crowd')",0.20,0.163,-0.08,0.45,0.08
RPG,self_oriented,"('llm', 'crowd')",0.52,0.000,0.28,0.70,0.56
RPG,validating_emotions,"('llm', 'crowd')",0.55,0.000,0.33,0.72,0.37
